BW    336 #MHz
FRES  1 #MHz
NFRB 7694 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 3185   386.5  35    301.5  0.373    15.9    1.0
FRB 3187   187.5  35    102.5  0.071    11.7    4.0
FRB 3188   553.3  35    468.3  0.174    20.0    3.0
FRB 3190   461.6  35    376.6  0.157    15.7    2.0
FRB 3191   440.4  35    355.4  0.429    55.7    2.0
FRB 3192   262.1  35    177.1  0.131     9.5    3.0
FRB 3194   572.8  35    487.8  0.385    14.5    3.0
FRB 3195   788.0  35    703.0  0.638    12.4    3.0
FRB 3197   642.4  35    557.4  0.215   131.7    2.0
FRB 3198   207.5  35    122.5  0.047    32.6    5.0
FRB 3199   177.3  35     92.3  0.062   385.4    2.0
FRB 3200   335.7  35    250.7  0.228    11.2    2.0
FRB 3201   742.6  35    657.6  0.339    27.1    3.0
FRB 3203   246.2  35    161.2  0.024    11.8    3.0
FRB 3204   674.6  35    589.6  0.476    19.1    2.0
FRB 3205   265.7  35    180.7  0.197   164.1    2.0
FRB 3206  1340.4  35   1255.4  0.300    24.5    3.0
FRB 3208   505.2  35    420.2  0.274    41.5    2.0
FRB 3209   506.3  35    421.3  0.360    10.7    4.0
FRB 3210   339.3  35    254.3  0.109   118.1    4.0
FRB 3212   749.2  35    664.2  0.271    13.5    3.0
FRB 3214   553.8  35    468.8  0.574    13.9    1.0
FRB 3216   683.8  35    598.8  0.187    15.2    2.0
FRB 3217   329.0  35    244.0  0.061    13.8    2.0
FRB 3219   414.7  35    329.7  0.238    17.4    5.0
FRB 3220   816.9  35    731.9  0.362     9.5    1.0
FRB 3221   327.0  35    242.0  0.245    20.1    1.0
FRB 3222   870.0  35    785.0  0.448    16.3    1.0
FRB 3224   249.3  35    164.3  0.154    20.6    3.0
FRB 3225   160.7  35     75.7  0.009    19.7    4.0
FRB 3226   244.9  35    159.9  0.046    13.8    5.0
FRB 3227   177.4  35     92.4  0.091    18.4    5.0
FRB 3228   291.9  35    206.9  0.002    48.1    5.0
FRB 3229   190.5  35    105.5  0.025    19.2    2.0
FRB 3230   502.3  35    417.3  0.479    30.8    2.0
FRB 3232   367.5  35    282.5  0.022    31.6    3.0
FRB 3233   587.2  35    502.2  0.181    13.4    3.0
FRB 3235   854.4  35    769.4  0.010    16.6    3.0
FRB 3236   952.9  35    867.9  0.032    13.7    3.0
FRB 3237  1060.0  35    975.0  0.044    61.2    3.0
FRB 3238   631.8  35    546.8  0.421    19.4    3.0
FRB 3239   209.4  35    124.4  0.166    24.8    3.0
FRB 3240   370.8  35    285.8  0.228    27.2    2.0
FRB 3241   351.3  35    266.3  0.004    24.3    2.0
FRB 3242   432.2  35    347.2  0.455    24.6    2.0
FRB 3244   276.1  35    191.1  0.127    36.9    3.0
FRB 3245   455.2  35    370.2  0.451    20.8    4.0
FRB 3246   241.1  35    156.1  0.269    17.7    1.0
FRB 3247   797.0  35    712.0  0.344     9.2    3.0
FRB 3248   435.4  35    350.4  0.356    22.2    4.0
FRB 3249   291.9  35    206.9  0.217    15.1    1.0
FRB 3250   545.2  35    460.2  0.380    31.5    2.0
FRB 3252   129.7  35     44.7  0.032    12.1    2.0
FRB 3254   284.9  35    199.9  0.267    15.7    2.0
FRB 3255   436.1  35    351.1  0.035     9.5    0.0
FRB 3257   254.9  35    169.9  0.055    12.8    2.0
FRB 3258   309.6  35    224.6  0.086    22.9    3.0
FRB 3259   211.1  35    126.1  0.044    21.1    2.0
FRB 3261   221.8  35    136.8  0.078    23.9    2.0
FRB 3262   483.5  35    398.5  0.515    65.7    1.0
FRB 3263   311.3  35    226.3  0.422    10.9    2.0
FRB 3265   291.3  35    206.3  0.307    11.7    2.0
FRB 3267   252.4  35    167.4  0.046    13.6    1.0
FRB 3268   510.9  35    425.9  0.245    15.3    1.0
FRB 3269   288.7  35    203.7  0.208    73.0    3.0
FRB 3271  1158.2  35   1073.2  0.618    16.6    3.0
FRB 3272   392.7  35    307.7  0.373     9.7    1.0
FRB 3274   323.6  35    238.6  0.168    11.0    1.0
FRB 3275   457.2  35    372.2  0.202    56.3    0.0
FRB 3277  1995.9  35   1910.9  0.467    41.3    2.0
FRB 3278   805.5  35    720.5  0.018    18.5    5.0
FRB 3279   140.4  35     55.4  0.004    12.9    4.0
FRB 3280   727.8  35    642.8  0.628    46.8    2.0
FRB 3281   301.1  35    216.1  0.045   104.0    1.0
FRB 3282   512.6  35    427.6  0.593    18.7    1.0
FRB 3283   593.0  35    508.0  0.195    17.5    2.0
FRB 3284   439.4  35    354.4  0.123    42.9    4.0
FRB 3285   454.2  35    369.2  0.414    44.4    2.0
FRB 3286   545.5  35    460.5  0.427    20.9    3.0
FRB 3287   542.4  35    457.4  0.131    26.1    4.0
FRB 3288   240.0  35    155.0  0.098    19.2    3.0
FRB 3289   162.8  35     77.8  0.017    25.8    3.0
FRB 3290   194.1  35    109.1  0.032    26.6    2.0
FRB 3292   383.7  35    298.7  0.306    15.1    1.0
FRB 3293   372.6  35    287.6  0.241     9.9    2.0
FRB 3294   286.0  35    201.0  0.021    95.3    3.0
FRB 3296   242.7  35    157.7  0.075    64.4    3.0
FRB 3297   507.4  35    422.4  0.485    10.9    2.0
FRB 3298   199.3  35    114.3  0.155    71.9    1.0
FRB 3300   401.7  35    316.7  0.040    22.8    2.0
FRB 3301   269.0  35    184.0  0.086    11.6    3.0
FRB 3302   339.7  35    254.7  0.244    14.3    2.0
FRB 3304   491.5  35    406.5  0.599    10.0    2.0
FRB 3306   258.7  35    173.7  0.154    11.9    5.0
FRB 3307   873.5  35    788.5  0.090    16.7    1.0
FRB 3309   258.2  35    173.2  0.175    16.0    1.0
FRB 3310   265.5  35    180.5  0.165    80.7    2.0
FRB 3311  1980.2  35   1895.2  0.209    20.5    3.0
FRB 3312  1037.8  35    952.8  0.234    78.1    4.0
FRB 3313   344.7  35    259.7  0.173    17.9    1.0
FRB 3314   700.0  35    615.0  0.422    16.1    3.0
FRB 3315   378.6  35    293.6  0.425    10.9    3.0
FRB 3317   464.6  35    379.6  0.111   921.3    2.0
FRB 3318   306.2  35    221.2  0.315     9.8    1.0
FRB 3319   502.3  35    417.3  0.340    16.6    2.0
FRB 3321   783.2  35    698.2  0.476    13.3    2.0
FRB 3323   351.7  35    266.7  0.246    14.6    1.0
FRB 3324  1390.5  35   1305.5  0.040    13.7    4.0
FRB 3325   213.8  35    128.8  0.042    21.4    1.0
FRB 3326   905.6  35    820.6  0.449    33.6    2.0
FRB 3327   603.0  35    518.0  0.125    15.8    3.0
FRB 3328   134.7  35     49.7  0.070    79.1    3.0
FRB 3329   478.8  35    393.8  0.499    23.8    1.0
FRB 3331   221.4  35    136.4  0.019   111.6    3.0
FRB 3332   271.0  35    186.0  0.181    28.0    2.0
FRB 3333   377.6  35    292.6  0.295    20.7    3.0
FRB 3334   434.0  35    349.0  0.475    12.0    0.0
FRB 3335   793.0  35    708.0  0.621    14.4    2.0
FRB 3337   217.8  35    132.8  0.063    38.7    2.0
FRB 3338   782.8  35    697.8  0.018    17.5    3.0
FRB 3339   523.9  35    438.9  0.490    16.4    2.0
FRB 3340   159.3  35     74.3  0.106    48.6    2.0
FRB 3341   381.4  35    296.4  0.130    62.1    4.0
FRB 3342   567.8  35    482.8  0.549    10.5    0.0
FRB 3344   259.0  35    174.0  0.196    19.0    2.0
FRB 3345  1022.8  35    937.8  0.405    17.7    2.0
FRB 3346   408.6  35    323.6  0.205     9.2    3.0
FRB 3347   325.0  35    240.0  0.275    19.4    2.0
FRB 3349  1054.5  35    969.5  0.124    13.5    4.0
FRB 3350   100.8  35     15.8  0.010    23.9    4.0
FRB 3352   680.9  35    595.9  0.246    12.0    0.0
FRB 3353   581.3  35    496.3  0.328    15.5    4.0
FRB 3354   453.9  35    368.9  0.266    28.9    4.0
FRB 3355   272.7  35    187.7  0.230    25.7    4.0
FRB 3356   456.2  35    371.2  0.406    38.0    1.0
FRB 3357   383.3  35    298.3  0.200    22.9    3.0
FRB 3358   267.1  35    182.1  0.131    16.8    0.0
FRB 3359   928.6  35    843.6  0.478    19.5    1.0
FRB 3361   341.2  35    256.2  0.145    26.5    1.0
FRB 3362   300.6  35    215.6  0.338    15.2    4.0
FRB 3363  1159.0  35   1074.0  0.415     9.1    3.0
FRB 3365   365.1  35    280.1  0.161     9.5    4.0
FRB 3367   337.8  35    252.8  0.224     9.4    2.0
FRB 3368   641.3  35    556.3  0.344    17.8    1.0
FRB 3370   915.9  35    830.9  0.184    21.6    5.0
FRB 3371   565.5  35    480.5  0.618    12.0    1.0
FRB 3372   350.7  35    265.7  0.329    30.1    4.0
FRB 3373   539.5  35    454.5  0.242    18.3    3.0
FRB 3375   265.3  35    180.3  0.224    10.1    3.0
FRB 3377   640.0  35    555.0  0.578    11.4    2.0
FRB 3379   320.3  35    235.3  0.021    13.9    3.0
FRB 3381   885.2  35    800.2  0.219    11.3    2.0
FRB 3383   531.1  35    446.1  0.393    14.9    2.0
FRB 3384   652.2  35    567.2  0.750    10.3    1.0
FRB 3385   446.0  35    361.0  0.300    18.0    4.0
FRB 3386   385.4  35    300.4  0.039    41.5    5.0
FRB 3388   718.5  35    633.5  0.092    20.9    4.0
FRB 3389   160.8  35     75.8  0.003   108.2    3.0
FRB 3390   270.9  35    185.9  0.087     9.6    6.0
FRB 3391   864.3  35    779.3  0.494    14.1    2.0
FRB 3393   267.8  35    182.8  0.138    25.4    4.0
FRB 3394   671.9  35    586.9  0.379    14.9    2.0
FRB 3395   550.6  35    465.6  0.184    16.7    4.0
FRB 3396   639.6  35    554.6  0.712    10.4    2.0
FRB 3397   640.1  35    555.1  0.546    14.1    3.0
FRB 3398   420.3  35    335.3  0.470    23.6    3.0
FRB 3400   422.5  35    337.5  0.008    14.9    2.0
FRB 3401   680.3  35    595.3  0.497    13.2    3.0
FRB 3403   199.7  35    114.7  0.033    31.7    3.0
FRB 3404   981.9  35    896.9  0.743    12.7    1.0
FRB 3405   405.0  35    320.0  0.434    17.1    2.0
FRB 3407   320.5  35    235.5  0.230    16.7    4.0
FRB 3408   173.1  35     88.1  0.080    33.8    2.0
FRB 3409   305.0  35    220.0  0.198    16.0    3.0
FRB 3410   145.7  35     60.7  0.063   125.8    2.0
FRB 3411   811.3  35    726.3  0.515    12.9    3.0
FRB 3413   535.8  35    450.8  0.483    13.2    2.0
FRB 3415   564.5  35    479.5  0.316    25.7    2.0
FRB 3416   450.6  35    365.6  0.287    11.8    1.0
FRB 3418   296.1  35    211.1  0.030    10.6    1.0
FRB 3420   150.5  35     65.5  0.054    19.7    0.0
FRB 3421   486.2  35    401.2  0.057    15.3    3.0
FRB 3422   437.7  35    352.7  0.416    11.5    3.0
FRB 3424   197.7  35    112.7  0.077    72.7    4.0
FRB 3425   495.1  35    410.1  0.031     9.9    3.0
FRB 3426   507.9  35    422.9  0.080    16.3    2.0
FRB 3428   602.3  35    517.3  0.207    35.6    4.0
FRB 3429   189.5  35    104.5  0.005    25.4    2.0
FRB 3430   298.6  35    213.6  0.247    21.5    2.0
FRB 3431   145.3  35     60.3  0.022    11.0    3.0
FRB 3433   634.5  35    549.5  0.549    10.1    2.0
FRB 3434   225.0  35    140.0  0.220    49.4    5.0
FRB 3436   362.0  35    277.0  0.214    17.1    3.0
FRB 3437   875.9  35    790.9  0.148    23.5    2.0
FRB 3438   594.9  35    509.9  0.150    10.3    3.0
FRB 3439   296.6  35    211.6  0.055    18.3    2.0
FRB 3440   268.8  35    183.8  0.243    41.0    2.0
FRB 3441   639.8  35    554.8  0.324    32.1    2.0
FRB 3443   621.4  35    536.4  0.636    17.1    2.0
FRB 3444   248.1  35    163.1  0.114     9.3    1.0
FRB 3446   238.6  35    153.6  0.071   874.4    2.0
FRB 3447   190.0  35    105.0  0.072   207.1    3.0
FRB 3448   490.3  35    405.3  0.571    14.6    3.0
FRB 3449   131.3  35     46.3  0.008    12.2    3.0
FRB 3450   714.5  35    629.5  0.243    24.6    4.0
FRB 3451   380.8  35    295.8  0.440    30.6    2.0
FRB 3453   679.2  35    594.2  0.071    21.3    1.0
FRB 3454   567.0  35    482.0  0.432    11.9    2.0
FRB 3456   407.3  35    322.3  0.302    10.7    3.0
FRB 3458   208.6  35    123.6  0.089     9.4    4.0
FRB 3459   301.4  35    216.4  0.251    14.2    2.0
FRB 3460   484.7  35    399.7  0.340    23.4    1.0
FRB 3462   379.7  35    294.7  0.331     9.7    2.0
FRB 3463   807.5  35    722.5  0.448    14.9    3.0
FRB 3464   445.5  35    360.5  0.271    23.3    2.0
FRB 3465   294.8  35    209.8  0.109    16.3    2.0
FRB 3466   257.1  35    172.1  0.156    15.1    3.0
FRB 3468   732.4  35    647.4  0.630    29.8    0.0
FRB 3469   325.9  35    240.9  0.115    16.6    2.0
FRB 3470   383.9  35    298.9  0.416    15.2    3.0
FRB 3471   291.5  35    206.5  0.177    25.8    3.0
FRB 3472   429.3  35    344.3  0.438    10.3    2.0
FRB 3473   191.5  35    106.5  0.005   552.7    2.0
FRB 3475   574.3  35    489.3  0.105    10.3    3.0
FRB 3476   186.0  35    101.0  0.037    18.4    2.0
FRB 3477   242.4  35    157.4  0.003    37.2    2.0
FRB 3478   192.0  35    107.0  0.106    37.0    2.0
FRB 3480   519.9  35    434.9  0.445    12.8    1.0
FRB 3482   488.4  35    403.4  0.281    22.8    4.0
FRB 3483   104.1  35     19.1  0.016    79.5    3.0
FRB 3484   328.9  35    243.9  0.026    34.7    3.0
FRB 3485   495.2  35    410.2  0.068    16.2    1.0
FRB 3486   433.7  35    348.7  0.388    17.6    2.0
FRB 3487   388.3  35    303.3  0.200    20.7    1.0
FRB 3488   239.8  35    154.8  0.005    15.3    3.0
FRB 3489   660.6  35    575.6  0.386    11.9    3.0
FRB 3490   405.5  35    320.5  0.169    18.3    4.0
FRB 3491   381.1  35    296.1  0.352    16.9    2.0
FRB 3493   461.4  35    376.4  0.597    11.2    2.0
FRB 3494   195.5  35    110.5  0.065    14.3    2.0
FRB 3496   213.1  35    128.1  0.103    22.5    3.0
FRB 3497   145.5  35     60.5  0.027    19.9    1.0
FRB 3498   394.8  35    309.8  0.207    18.5    0.0
FRB 3499   789.7  35    704.7  0.601     9.3    2.0
FRB 3501   413.3  35    328.3  0.347    11.4    2.0
FRB 3502   474.3  35    389.3  0.050    51.9    1.0
FRB 3503   305.3  35    220.3  0.278    19.8    2.0
FRB 3505   280.4  35    195.4  0.221    17.0    4.0
FRB 3506   362.0  35    277.0  0.274    24.5    4.0
FRB 3507   705.3  35    620.3  0.605    35.0    2.0
FRB 3508   191.9  35    106.9  0.137    47.4    5.0
FRB 3509   310.5  35    225.5  0.227    26.1    3.0
FRB 3510   444.8  35    359.8  0.234    13.2    4.0
FRB 3511   601.6  35    516.6  0.584    25.7    3.0
FRB 3512   537.4  35    452.4  0.112    26.6    2.0
FRB 3514   629.5  35    544.5  0.484     9.1    3.0
FRB 3516   542.6  35    457.6  0.468    10.0    1.0
FRB 3518   622.1  35    537.1  0.107    11.7    4.0
FRB 3519   513.3  35    428.3  0.214    32.2    3.0
FRB 3520   264.8  35    179.8  0.237    49.5    3.0
FRB 3521   313.6  35    228.6  0.317    14.4    3.0
FRB 3523   402.3  35    317.3  0.415    14.1    1.0
FRB 3524   271.0  35    186.0  0.143    16.0    3.0
FRB 3525   371.7  35    286.7  0.164    14.2    2.0
FRB 3526   292.1  35    207.1  0.157     9.5    2.0
FRB 3528   263.7  35    178.7  0.248    25.7    2.0
FRB 3529   233.0  35    148.0  0.171   112.9    2.0
FRB 3530   538.2  35    453.2  0.474    16.2    3.0
FRB 3531   354.9  35    269.9  0.337    72.3    1.0
FRB 3532   260.4  35    175.4  0.193    54.7    2.0
FRB 3533   684.2  35    599.2  0.146    13.8    3.0
FRB 3534   319.9  35    234.9  0.076    17.7    5.0
FRB 3536   146.3  35     61.3  0.026    17.9    4.0
FRB 3537   512.0  35    427.0  0.339    12.7    1.0
FRB 3538   225.2  35    140.2  0.036    31.8    2.0
FRB 3539   474.5  35    389.5  0.050    22.2    3.0
FRB 3540   310.3  35    225.3  0.318    21.3    2.0
FRB 3542   540.5  35    455.5  0.532    10.5    3.0
FRB 3543   298.6  35    213.6  0.001    14.8    1.0
FRB 3544   461.5  35    376.5  0.218    16.3    2.0
FRB 3545   193.2  35    108.2  0.076    27.8    2.0
FRB 3546   231.7  35    146.7  0.049    15.4    4.0
FRB 3548   644.0  35    559.0  0.004    58.8    2.0
FRB 3549   358.2  35    273.2  0.347    20.9    2.0
FRB 3550   626.2  35    541.2  0.777     9.9    1.0
FRB 3551   395.3  35    310.3  0.246    21.7    1.0
FRB 3552   483.7  35    398.7  0.200    20.3    2.0
FRB 3553   443.0  35    358.0  0.144    34.0    3.0
FRB 3554   299.5  35    214.5  0.199    14.7    2.0
FRB 3556   205.0  35    120.0  0.181    28.9    5.0
FRB 3557   327.0  35    242.0  0.067     9.6    2.0
FRB 3558   448.6  35    363.6  0.415    26.0    3.0
FRB 3559   214.7  35    129.7  0.111    25.2    1.0
FRB 3560   629.2  35    544.2  0.728    20.7    1.0
FRB 3561   536.1  35    451.1  0.225    22.5    2.0
FRB 3562   623.6  35    538.6  0.423    17.8    4.0
FRB 3564   442.6  35    357.6  0.177    16.4    1.0
FRB 3565   504.1  35    419.1  0.101    36.9    3.0
FRB 3566   644.1  35    559.1  0.048    25.8    2.0
FRB 3567   498.6  35    413.6  0.130    27.3    2.0
FRB 3568   449.7  35    364.7  0.496     9.9    3.0
FRB 3570   627.1  35    542.1  0.569    14.3    1.0
FRB 3571   516.5  35    431.5  0.388    13.0    3.0
FRB 3573   239.9  35    154.9  0.006     9.7    4.0
FRB 3575   337.9  35    252.9  0.069    60.5    3.0
FRB 3576   173.1  35     88.1  0.055    28.1    4.0
FRB 3577   275.7  35    190.7  0.012    46.1    3.0
FRB 3578   690.0  35    605.0  0.371    12.7    1.0
FRB 3580   651.6  35    566.6  0.556     9.8    1.0
FRB 3582   376.5  35    291.5  0.115    15.0    4.0
FRB 3583   378.0  35    293.0  0.320    22.0    1.0
FRB 3584   221.5  35    136.5  0.023    46.6    2.0
FRB 3585   181.9  35     96.9  0.010    70.6    3.0
FRB 3586   752.6  35    667.6  0.553    12.6    2.0
FRB 3587   375.9  35    290.9  0.037    16.7    4.0
FRB 3589   550.0  35    465.0  0.565    15.7    2.0
FRB 3590   288.0  35    203.0  0.140    25.6    2.0
FRB 3591   263.3  35    178.3  0.025    10.3    3.0
FRB 3592  1165.9  35   1080.9  0.136   119.7    4.0
FRB 3593   334.9  35    249.9  0.178    16.8    2.0
FRB 3595   170.2  35     85.2  0.029    12.7    1.0
FRB 3597   241.9  35    156.9  0.029    12.4    5.0
FRB 3599   288.3  35    203.3  0.244    27.9    3.0
FRB 3600   552.4  35    467.4  0.522    12.2    3.0
FRB 3601  1263.7  35   1178.7  0.131    17.4    3.0
FRB 3603   394.2  35    309.2  0.073    23.2    2.0
FRB 3604   671.5  35    586.5  0.438    13.7    1.0
FRB 3605   415.6  35    330.6  0.073    47.1    4.0
FRB 3606   272.1  35    187.1  0.110    29.5    6.0
FRB 3607   280.4  35    195.4  0.161    21.8    3.0
FRB 3608   315.7  35    230.7  0.035    31.8    1.0
FRB 3609   221.6  35    136.6  0.067    26.6    2.0
FRB 3611   259.0  35    174.0  0.051    22.8    2.0
FRB 3612   278.6  35    193.6  0.270    21.7    3.0
FRB 3613   279.1  35    194.1  0.163    11.5    2.0
FRB 3614   436.5  35    351.5  0.289   127.2    3.0
FRB 3615   285.9  35    200.9  0.144    16.0    3.0
FRB 3616   483.7  35    398.7  0.048    38.9    5.0
FRB 3617   387.0  35    302.0  0.378    54.0    3.0
FRB 3618   242.2  35    157.2  0.029    75.1    4.0
FRB 3619   690.4  35    605.4  0.563    16.4    1.0
FRB 3621   322.4  35    237.4  0.285    21.7    3.0
FRB 3622   308.3  35    223.3  0.222    28.9    3.0
FRB 3623   338.2  35    253.2  0.135    23.3    2.0
FRB 3624   463.2  35    378.2  0.105    26.2    2.0
FRB 3625   248.9  35    163.9  0.177    22.3    2.0
FRB 3626   413.8  35    328.8  0.107     9.7    5.0
FRB 3628   198.1  35    113.1  0.070    17.0    3.0
FRB 3629   479.3  35    394.3  0.278    17.8    3.0
FRB 3630   457.0  35    372.0  0.440    13.9    2.0
FRB 3632   415.2  35    330.2  0.180     9.5    3.0
FRB 3633   126.5  35     41.5  0.004    32.1    4.0
FRB 3635   523.2  35    438.2  0.064     9.2    4.0
FRB 3636   223.7  35    138.7  0.114    17.7    2.0
FRB 3637   339.6  35    254.6  0.101    20.8    2.0
FRB 3638   333.7  35    248.7  0.276    23.8    1.0
FRB 3639   440.7  35    355.7  0.025    47.3    2.0
FRB 3640   314.9  35    229.9  0.381    16.0    2.0
FRB 3641   263.1  35    178.1  0.049    94.5    3.0
FRB 3642   450.4  35    365.4  0.138    19.6    5.0
FRB 3643   201.5  35    116.5  0.002   6797.8    6.0
FRB 3645   353.6  35    268.6  0.025    83.6    2.0
FRB 3646  1003.9  35    918.9  0.200    39.2    3.0
FRB 3647   242.3  35    157.3  0.069    11.1    6.0
FRB 3648   159.5  35     74.5  0.010    28.0    2.0
FRB 3650  1340.7  35   1255.7  0.273    13.3    3.0
FRB 3652   370.4  35    285.4  0.069    41.9    1.0
FRB 3653   203.7  35    118.7  0.061    12.2    3.0
FRB 3654   949.0  35    864.0  0.675    15.5    1.0
FRB 3655   275.1  35    190.1  0.006   185.6    3.0
FRB 3657   292.9  35    207.9  0.063    11.3    2.0
FRB 3659   164.2  35     79.2  0.068    10.7    3.0
FRB 3660   356.8  35    271.8  0.040   177.3    2.0
FRB 3662   526.5  35    441.5  0.367    10.5    2.0
FRB 3664   128.0  35     43.0  0.021    56.2    3.0
FRB 3665   442.3  35    357.3  0.498     9.6    3.0
FRB 3667   392.0  35    307.0  0.151    79.6    3.0
FRB 3668   373.3  35    288.3  0.049    30.8    3.0
FRB 3669   229.1  35    144.1  0.061    16.6    2.0
FRB 3670   327.2  35    242.2  0.302    17.3    2.0
FRB 3671   525.9  35    440.9  0.186    10.1    4.0
FRB 3672   826.9  35    741.9  0.071    16.0    4.0
FRB 3673   255.3  35    170.3  0.052    78.6    3.0
FRB 3675   675.3  35    590.3  0.183     9.5    1.0
FRB 3676   593.1  35    508.1  0.688    19.1    3.0
FRB 3677   491.1  35    406.1  0.558    34.5    2.0
FRB 3678   447.0  35    362.0  0.425    14.7    1.0
FRB 3679   237.6  35    152.6  0.162    14.3    3.0
FRB 3680   318.3  35    233.3  0.102    15.2    4.0
FRB 3682   431.2  35    346.2  0.340    24.1    0.0
FRB 3683   284.6  35    199.6  0.212     9.5    2.0
